PARTIDO,LOCALIDAD,CANTIDAD DE MADRES/PADRES CON HIJOS ENTRE 0 Y 6 AÑOS
ALTE. BROWN,ADROGUE,  2.857 
ALTE. BROWN,Almirante Brown,  1.248 
ALTE. BROWN,BARRIO LOS ALAMOS,  50 
ALTE. BROWN,BARRIO ZABALA,  54 
ALTE. BROWN,BURZACO,  3.894 
ALTE. BROWN,GLEW,  3.440 
ALTE. BROWN,JOSE MARMOL,  95 
ALTE. BROWN,LONGCHAMPS,  1.401 
ALTE. BROWN,MINISTRO RIVADAVIA,  93 
ALTE. BROWN,RAFAEL CALZADA,  3.034 
ALTE. BROWN,SANTANDER RIO,  144 
Avellaneda,Avellaneda,  3.238 
Avellaneda,DOCK-SUD-I. MACIEL,  882 
Avellaneda,GERLI,  261 
Avellaneda,PI&EYRO,  333 
Avellaneda,SANTANDER RIO,  18 
Avellaneda,SARANDI,  747 
Avellaneda,VILLA DOMINICO,  558 
Avellaneda,VILLA HUE,  47 
Avellaneda,VILLA POBLADORA,  56 
Avellaneda,WILDE,  2.333 
Partido de Berazategui,BANCO MACRO S.A.,  43 
Partido de Berazategui,Partido de Berazategui,  8.922 
Partido de Berazategui,CENTRO AGR. EL PATO,  812 
Partido de Berazategui,J.M.GUTIERREZ,  15 
Partido de Berazategui,LAS QUINTAS,  979 
Partido de Berazategui,RANELAGH,  39 
E. ECHEVERRIA,BANCO MACRO S.A.,  58 
E. ECHEVERRIA,BARRIO LINDO,  23 
E. ECHEVERRIA,EL JAGUEL,  79 
E. ECHEVERRIA,LUIS GUILLON,  562 
E. ECHEVERRIA,MERCEDES,  8 
E. ECHEVERRIA,MONTE GRANDE,  9.613 
E. ECHEVERRIA,MONTECARLO,  55 
E. ECHEVERRIA,SANTANDER RIO,  10 
Partido de Ezeiza,Partido de Ezeiza,  4.442 
Partido de Ezeiza,TRISTAN SUAREZ,  2.086 
FCIO. VARELA,BANCO MACRO S.A.,  28 
FCIO. VARELA,Partido de Florencio Varela,  18.416 
Partido de Hurlingham,Partido de Hurlingham,  2.655 
Partido de Hurlingham,VILLA TESEI,  1.226 
Partido de Hurlingham,W.C.MORRIS,  308 
Departamento Ituzaingó,Departamento Ituzaingó,  2.876 
Departamento Ituzaingó,VILLA IRUPE,  63 
J. C. PAZ,BANCO PATAGONIA S.A.,  75 
J. C. PAZ,JOSE C.PAZ,  12.694 
J. C. PAZ,PIANO S.A.,  557 
J. C. PAZ,SANTANDER RIO,  43 
Partido de La Matanza,ALDO BONZI,  374 
Partido de La Matanza,BANCO DE LA CIUDAD DE BUENOS A,  6 
Partido de La Matanza,BANCO DE LA NACION ARGENTINA,  1 
Partido de La Matanza,BANCO ITAU ARGENTINA S.A.,  2 
Partido de La Matanza,BARRIO SAN CARLOS,  92 
Partido de La Matanza,C.GRAL.BELGRANO,  1.703 
Partido de La Matanza,GONZALEZ CATAN,  13.740 
Partido de La Matanza,ISIDRO CASANOVAS,  7.999 
Partido de La Matanza,LAFERRERE,  10.941 
Partido de La Matanza,LOMAS DEL MIRADOR,  1.149 
Partido de La Matanza,RAFAEL CASTILLO,  2.236 
Partido de La Matanza,RAMOS MEJIA,  848 
Partido de La Matanza,RUTA 3-KILOMETRO 29,  501 
Partido de La Matanza,SAN JUSTO,  6.575 
Partido de La Matanza,SANTANDER RIO,  305 
Partido de La Matanza,TABLADA,  98 
Partido de La Matanza,TAPIALES,  657 
Partido de La Matanza,VILLA CELINA,  3.221 
Partido de La Matanza,VILLA INSUPERABLE,  655 
Partido de La Matanza,VILLA LUZURIAGA,  165 
Partido de La Matanza,VILLA MADERO,  1.487 
Partido de Lanús,GERLI,  668 
Partido de Lanús,Partido de Lanús,  6.873 
Partido de Lanús,MONTE CHINGOLO,  1.340 
Partido de Lanús,REMEDIOS DE ESCALADA,  692 
Partido de Lanús,VALENTIN ALSINA,  591 
Partido de Lanús,VILLA DIAMANTE,  151 
Partido de Lanús,,  48 
Partido de Lomas de Zamora,BANCO ITAU ARGENTINA S.A.,  6 
Partido de Lomas de Zamora,BANFIELD,  2.869 
Partido de Lomas de Zamora,BARRIO SAN JOSE,  954 
Partido de Lomas de Zamora,LAVALLOL,  786 
Partido de Lomas de Zamora,Partido de Lomas de Zamora,  17.216 
Partido de Lomas de Zamora,PARADA PASCO,  96 
Partido de Lomas de Zamora,SANTANDER RIO,  38 
Partido de Lomas de Zamora,TEMPERLEY,  2.174 
Partido de Lomas de Zamora,VILLA TURDERA,  291 
Partido de Malvinas Argentinas,GRAND BOURG,  2.067 
Partido de Malvinas Argentinas,ING.PABLO NOGUES,  200 
Partido de Malvinas Argentinas,L.POLVORINES-M.DE.P,  3.795 
Partido de Malvinas Argentinas,SANTANDER RIO,  266 
Partido de Malvinas Argentinas,TORTUGUITAS,  2.532 
Partido de Merlo,B.P.Departamento San Martín,  1.603 
Partido de Merlo,BANCO MACRO S.A.,  26 
Partido de Merlo,LIBERTAD,  3.037 
Partido de Merlo,LOS PARAISOS,  136 
Partido de Merlo,MARIANO ACOSTA,  2.345 
Partido de Merlo,Partido de Merlo,  10.618 
Partido de Merlo,PONTEVEDRA,  2.235 
Partido de Merlo,S.ANTONIO DE PADUA,  446 
Partido de Moreno,Partido de Moreno,  19.546 
Partido de Moreno,PASO DEL REY,  1.028 
Partido de Morón,CASTELAR,  1.160 
Partido de Morón,EL PALOMAR,  892 
Partido de Morón,HAEDO MARIANO J,  335 
Partido de Morón,Partido de Morón,  3.968 
Partido de Morón,SANTANDER RIO,  116 
Partido de Quilmes,BARRIO FERROVIARIO,  303 
Partido de Quilmes,BERNAL,  3.197 
Partido de Quilmes,DON BOSCO,  29 
Partido de Quilmes,Partido de Quilmes,  9.060 
Partido de Quilmes,Partido de Quilmes OESTE,  164 
Partido de Quilmes,S.F.SOLANO,  5.381 
Departamento San Fernando,BANCO MACRO S.A.,  17 
Departamento San Fernando,CANAL Departamento San Fernando,  217 
Departamento San Fernando,Departamento San Fernando,  3.115 
Departamento San Fernando,VICTORIA,  151 
Departamento San Fernando,VIRREYES,  1.034 
Partido de San Isidro,ACASSUSO,  50 
Partido de San Isidro,BANCO DE LA CIUDAD DE BUENOS A,  2 
Partido de San Isidro,BECCAR,  1.271 
Partido de San Isidro,BOULOGNE,  1.812 
Partido de San Isidro,BOULOGNE SUR MER,  26 
Partido de San Isidro,MARTINEZ,  264 
Partido de San Isidro,Partido de San Isidro,  824 
Partido de San Isidro,SANTANDER RIO,  4 
Partido de San Isidro,VILLA ADELINA,  375 
Departamento San Martín,C.LIB.G.Departamento San Martín,  4.295 
Departamento San Martín,GENERAL Departamento San Martín,  49 
Departamento San Martín,MIGUELETE,  63 
Departamento San Martín,PABLO PODESTA,  37 
Departamento San Martín,SAN ANDRES-V S.MART.,  186 
Departamento San Martín,SANTANDER RIO,  603 
Departamento San Martín,TROPEZON (PARADA),  53 
Departamento San Martín,V.JOSE L.SUAREZ,  2.664 
Departamento San Martín,VILLA BALLESTER,  1.505 
Departamento San Martín,VILLA LOMA HERMOSA,  2.674 
Departamento San Martín,VILLA LYNCH,  67 
Departamento San Martín,VILLA MAIPU,  312 
Departamento San Martín,VILLA ZAGALA,  16 
Partido de San Miguel,BARRIO SANTA BRIGIDA,  358 
Partido de San Miguel,BELLA VISTA,  2.298 
Partido de San Miguel,CAMPO DE MAYO,  1 
Partido de San Miguel,Partido de San Miguel,  8.261 
Partido de San Miguel,SANTANDER RIO,  134 
Partido de San Miguel,VILLA MASIDE,  62 
Partido de Tigre,BANCO DE LA CIUDAD DE BUENOS A,  1 
Partido de Tigre,BENAVIDEZ,  1.544 
Partido de Tigre,DON TORCUATO,  2.912 
Partido de Tigre,EL TALAR,  192 
Partido de Tigre,GENERAL PACHECO,  4.752 
Partido de Tigre,SANTANDER RIO,  103 
Partido de Tigre,Partido de Tigre,3450
Partido de Tres de Febrero,BANCO MACRO S.A.,7
Partido de Tres de Febrero,CASEROS,2071
Partido de Tres de Febrero,SAENZ PE&A,69
Partido de Tres de Febrero,VILLA BOSCH,581
Partido de Tres de Febrero,VILLA CIUDADELA,1390
Partido de Tres de Febrero,VILLA J.INGENIEROS,724
Partido de Tres de Febrero,VILLA M.CORONADO,14
Partido de Tres de Febrero,VILLA STOS.LUGARES,122
VTE. LOPEZ,ARIST DEL VALLE,23
VTE. LOPEZ,BANCO DE LA CIUDAD DE BUENOS A,2
